model	params	eval#2023	eval#2024	lora#2024
Aquila2-7B	7295537152	13.23193540988166	14.238802549796981	-2
Atom-7B	7028740096	7.563231167342446	7.694058650586969	5.123826262583651
Baichuan2-7B-Base	7523864576	5.680862697663289	5.859727628386531	4.317771737244462
bloom-3b	3002557440	17.168928421750184	18.316151567127076	-2
bloom-560m	559214592	31.326143390891374	33.524784265898475	-2
bloom-7b1	7084744704	14.647255461068061	15.653857958156193	9.64974082016593
bloomz-3b	3002557440	27.939551903511557	29.937017965995842	-2
bloomz-560m	559214592	71.34502253636883	74.60252249328423	-2
bloomz-7b1	7069016064	20.271913077410346	21.662718818992197	-2
BlueLM-7B-Base	7316254720	2623.164239035755	2981.731346097018	5.150275690017217
CodeLlama-7b-hf	6738546688	6.51843311636379	6.545949923729771	-2
DeciLM-7B	7064135680	8.970972124279374	9.40497301993572	4.777600812833581
deepseek-coder-6.7b-base	6740512768	6.121032200129129	6.172041976311423	-2
deepseek-llm-7b-base	6929104896	6.341422541404131	6.563468502865203	4.84414995892148
falcon-7b	6938039168	10.501337782833067	10.512176943532536	4.059371490280872
gemma-2b	2506172416	26.98944649494329	27.473684168259044	-2
gemma-7b	8537680896	212010.67350508328	237803.95364793198	-2
gpt-neo-1B3	1322653696	5.317842071896468	5.543159842274159	4.006921088490803
gpt-neo-2.7B	2663104000	4.938549416251129	5.136748897572753	3.7315429721793016
internlm-7b	7321948160	8.905432482856789	10.481896934773108	-2
internlm2-1_8b	1897731072	6.4714999810774865	6.705877500457602	4.656413696107194
internlm2-7b	7737708544	5.068815066996474	5.323760621463535	-2
internlm2-base-7b	7757356032	5.494073824465896	5.806803358001552	4.360254748458214
internlm2-chat-1_8b	1889110016	6.748659136395636	6.968392409503251	-2
internlm2-chat-1_8b-sft	1889110016	6.869790151816843	7.0869473800037515	-2
internlm2-chat-7b	7737708544	5.157704441378068	5.371175169407064	-2
internlm2-chat-7b-sft	7737708544	5.205411999476271	5.416234282335604	-2
LiteLlama-460M-1T	465863680	6.752420430537839	7.0853609669204145	4.496821802225099
Llama-2-7b-hf	6738415616	6.013079943375979	6.000241891747497	-2
Llama-2-7b-ms	6758404096	6.013079943375979	6.000241891747497	4.434510312378591
llama-7b	6738415616	6.621977043365626	6.670651925460551	-2
miniCPM-bf16	2738520576	7.687890181027332	7.634563428009522	5.155773570722441
Mistral-7B-v0.1	7262703616	5.729334546987274	5.907934382001974	4.432613447804048
Mistral-7B-v0.2-hf	7262703616	5.45883537132585	5.971759125655003	4.473939406640837
mpt-7b	6649286656	6.7027245974788565	6.94470390170197	-2
nlp_polylm_qwen_7b_text_generation	7721324544	9.437592432136867	9.554462416811852	-2
OLMo-7B	6888095744	6.715803030413848	6.969870376372315	-2
open_llama_7b	6738415616	4.312928895188516	4.413033307271763	-2
open_llama_7b_v2	6758404096	5.682711108784914	5.685353707651466	4.381168830565727
opt-125	126566400	10.249320185354572	10.634222407687407	6.212028798353898
opt-1b3	1322835968	6.9469105343256805	7.239256680973138	4.340449357866969
phi-2	2790169600	6.174754601067042	6.347547989413277	4.2220044413232545
pythia-1b	1016394752	9.135171623153047	9.400467035892978	6.645516096951411
pythia-6.9b-deduped	6874515456	7.270117954563562	7.595724372664539	5.508924425488279
Qwen-1_8B-Llamafied	1836877824	24.278864294028235	24.337671637212498	-2
Qwen-7B	7721324544	10.74675392298196	10.98732247060316	-2
Qwen1.5-0.5B	463987712	21.610637758932334	21.31525406780826	-2
Qwen1.5-1.8B	1836828672	16.849107137966303	16.8087952312222	-2
Qwen1.5-4B	3950369280	12.770693762104374	12.960893311401794	-2
Qwen1.5-7B	7741313024	10.93398928720354	11.173113618877263	7.127000319230658
RedPajama-INCITE-7B-Base	6874515456	6.8861220561402545	7.208492039037682	5.174009444631279
SOLAR-10.7B-v1.0	10731524096	5.873454506187142	6.077794253138564	-2
stablelm-2-1_6b	1652084736	7.549792940510151	7.764086528216905	5.705255256323532
stablelm-3b-4e1t	2795443200	5.943107622476705	6.226866748733095	-2
TinyLlama-1.1B-intermediate-step-1431k-3T	1106356224	7.3444076619373995	7.684492668908548	5.352426863707659
TinyLlama-1.1B-intermediate-step-240k-503b	1100048384	9.416568473452168	9.181087680985408	-2
xgen-7b-4k-base	6915690496	3.995411660699431	4.149288676719663	3.126277460634341
XVERSE-7B	7319834624	4.063190405380492	4.151511661452518	3.3059721225357683
Yi-6B	6079188992	5.493687420718576	5.505544693997218	4.23575838833523
Yi-9B	8829407232	5.001918595829642	5.06332601438611	-2
